,t1,t2,t3,t4,t5
m1,119600.000,131560.000,144716.000,159187.600,175106.360
m2,119600.000,131560.000,144716.000,159187.600,175106.360
m3,119600.000,131560.000,144716.000,159187.600,175106.360
m4,119600.000,131560.000,144716.000,159187.600,175106.360
m5,119600.000,131560.000,144716.000,159187.600,175106.360
m6,119600.000,131560.000,144716.000,159187.600,175106.360
m7,119600.000,131560.000,144716.000,159187.600,175106.360
m8,119600.000,131560.000,144716.000,159187.600,175106.360
m9,119600.000,131560.000,144716.000,159187.600,175106.360
m10,119600.000,131560.000,144716.000,159187.600,175106.360
