,t1,t2,t3,t4,t5
s1,23.03,25.33,27.87,30.65,33.72
s2,82.94,91.23,100.36,110.39,121.43
s3,7.61,8.37,9.21,10.13,11.14
s4,76.54,84.19,92.61,101.87,112.06
s5,56.42,62.06,68.27,75.10,82.60
s6,81.39,89.53,98.48,108.33,119.16
s7,26.73,29.40,32.34,35.58,39.14
s8,77.79,85.57,94.13,103.54,113.89
s9,34.57,38.03,41.83,46.01,50.61
s10,38.88,42.77,47.04,51.75,56.92
s11,81.38,89.52,98.47,108.32,119.15
s12,28.92,31.81,34.99,38.49,42.34
s13,55.87,61.46,67.60,74.36,81.80
s14,64.74,71.21,78.34,86.17,94.79
s15,77.87,85.66,94.22,103.64,114.01
s16,14.12,15.53,17.09,18.79,20.67
s17,74.75,82.23,90.45,99.49,109.44
s18,66.64,73.30,80.63,88.70,97.57
s19,6.61,7.27,8.00,8.80,9.68
s20,71.2,78.32,86.15,94.77,104.24
s21,49.24,54.16,59.58,65.54,72.09
s22,40.37,44.41,48.85,53.73,59.11
s23,82.57,90.83,99.91,109.90,120.89
s24,20.5,22.55,24.81,27.29,30.01
s25,78.53,86.38,95.02,104.52,114.98
s26,93.21,102.53,112.78,124.06,136.47
s27,44.36,48.80,53.68,59.04,64.95
s28,20.84,22.92,25.22,27.74,30.51
s29,53.94,59.33,65.27,71.79,78.97
s30,40.49,44.54,48.99,53.89,59.28
s31,31.83,35.01,38.51,42.37,46.60
s32,95.38,104.92,115.41,126.95,139.65
s33,29.12,32.03,35.24,38.76,42.63
s34,63.49,69.84,76.82,84.51,92.96
s35,55.06,60.57,66.62,73.28,80.61
s36,4.71,5.18,5.70,6.27,6.90
s37,54.46,59.91,65.90,72.49,79.73
s38,31.85,35.04,38.54,42.39,46.63
s39,49.65,54.62,60.08,66.08,72.69
s40,61.17,67.29,74.02,81.42,89.56
