,t1,t2,t3,t4,t5
m1,21.01,23.11,25.42,27.96,30.76
m2,67.07,73.78,81.15,89.27,98.20
m3,37.49,41.24,45.36,49.90,54.89
m4,36.62,40.28,44.31,48.74,53.62
m5,42.53,46.78,51.46,56.61,62.27
m6,60.60,66.66,73.33,80.66,88.72
m7,33.79,37.17,40.89,44.97,49.47
m8,37.35,41.09,45.19,49.71,54.68
m9,63.94,70.33,77.37,85.10,93.61
m10,37.23,40.95,45.05,49.55,54.51
m11,15.60,17.16,18.88,20.76,22.84
m12,40.73,44.80,49.28,54.21,59.63
m13,17.74,19.51,21.47,23.61,25.97
m14,49.97,54.97,60.46,66.51,73.16
m15,6.18,6.80,7.48,8.23,9.05
m16,54.71,60.18,66.20,72.82,80.10
m17,71.33,78.46,86.31,94.94,104.43
m18,10.93,12.02,13.23,14.55,16.00
m19,35.60,39.16,43.08,47.38,52.12
m20,8.16,8.98,9.87,10.86,11.95
m21,33.35,36.69,40.35,44.39,48.83
m22,39.89,43.88,48.27,53.09,58.40
m23,34.89,38.38,42.22,46.44,51.08
m24,10.85,11.94,13.13,14.44,15.89
m25,28.92,31.81,34.99,38.49,42.34
m26,21.19,23.31,25.64,28.20,31.02
m27,44.18,48.60,53.46,58.80,64.68
m28,8.38,9.22,10.14,11.15,12.27
m29,7.54,8.29,9.12,10.04,11.04
m30,35.98,39.58,43.54,47.89,52.68
m31,4.09,4.50,4.95,5.44,5.99
m32,31.96,35.16,38.67,42.54,46.79
m33,19.76,21.74,23.91,26.30,28.93
m34,38.67,42.54,46.79,51.47,56.62
m35,1.79,1.97,2.17,2.38,2.62
m36,0.63,0.69,0.76,0.84,0.92
m37,37.85,41.64,45.80,50.38,55.42
m38,24.00,26.40,29.04,31.94,35.14
m39,13.87,15.26,16.78,18.46,20.31
m40,33.22,36.54,40.20,44.22,48.64
